seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
123,10,in_domain,123,0.1096,0.9187,0.718,0.9541,0.7,0.5
123,10,laptop,2313,0.1096,0.7332,0.6789,0.8132,0.7869,0.4367
123,10,restaurant,3602,0.1096,0.7324,0.6078,0.8488,0.6608,0.3137
0,1,val,122,1.0956,0.877,0.3115,0.9345,0.0,0.0
0,1,in_domain,123,1.0956,0.878,0.3117,0.9351,0.0,0.0
0,1,laptop,2313,1.0956,0.4267,0.1994,0.5982,0.0,0.0
0,1,restaurant,3602,1.0956,0.6008,0.2502,0.7506,0.0,0.0
0,2,val,122,1.0697,0.8525,0.4103,0.9309,0.3,0.0
0,2,in_domain,123,1.0697,0.8618,0.388,0.9286,0.2353,0.0
0,2,laptop,2313,1.0697,0.5443,0.3832,0.6631,0.4866,0.0
0,2,restaurant,3602,1.0697,0.6094,0.2771,0.7556,0.0757,0.0
0,3,val,122,0.9553,0.8689,0.4012,0.9369,0.2667,0.0
0,3,in_domain,123,0.9553,0.8943,0.4571,0.9427,0.4286,0.0
0,3,laptop,2313,0.9553,0.6139,0.4482,0.7036,0.641,0.0
0,3,restaurant,3602,0.9553,0.6124,0.2858,0.7571,0.1004,0.0
0,4,val,122,0.7443,0.8443,0.4072,0.9217,0.3,0.0
0,4,in_domain,123,0.7443,0.8943,0.5056,0.9455,0.5714,0.0
0,4,laptop,2313,0.7443,0.6926,0.5247,0.7753,0.757,0.0419
0,4,restaurant,3602,0.7443,0.6835,0.4404,0.8031,0.5119,0.0063
0,5,val,122,0.6683,0.8279,0.4282,0.9143,0.3704,0.0
0,5,in_domain,123,0.6683,0.9024,0.611,0.9541,0.5455,0.3333
0,5,laptop,2313,0.6683,0.7121,0.5778,0.8042,0.7612,0.1679
0,5,restaurant,3602,0.6683,0.7118,0.4926,0.8258,0.6218,0.03
0,6,val,122,0.4845,0.8443,0.4072,0.9217,0.3,0.0
0,6,in_domain,123,0.4845,0.9106,0.6335,0.9585,0.6087,0.3333
0,6,laptop,2313,0.4845,0.7315,0.6396,0.8125,0.775,0.3312
0,6,restaurant,3602,0.4845,0.7115,0.5101,0.8271,0.6134,0.0899
0,7,val,122,0.3672,0.8443,0.4072,0.9217,0.3,0.0
0,7,in_domain,123,0.3672,0.9187,0.5531,0.9593,0.7,0.0
0,7,laptop,2313,0.3672,0.7242,0.6069,0.8016,0.7755,0.2437
0,7,restaurant,3602,0.3672,0.7068,0.4892,0.8224,0.5955,0.0497
0,8,val,122,0.2813,0.8443,0.4072,0.9217,0.3,0.0
0,8,in_domain,123,0.2813,0.9024,0.6134,0.9537,0.6364,0.25
0,8,laptop,2313,0.2813,0.7345,0.6592,0.8145,0.7756,0.3875
0,8,restaurant,3602,0.2813,0.7185,0.543,0.8357,0.6139,0.1794
0,9,val,122,0.1394,0.8361,0.4056,0.9167,0.3,0.0
0,9,in_domain,123,0.1394,0.9024,0.6134,0.9537,0.6364,0.25
0,9,laptop,2313,0.1394,0.7367,0.6628,0.8176,0.778,0.3927
0,9,restaurant,3602,0.1394,0.7193,0.5497,0.8371,0.6159,0.196
0,10,val,122,0.1322,0.8443,0.4125,0.9217,0.3158,0.0
0,10,in_domain,123,0.1322,0.9024,0.622,0.9493,0.6667,0.25
0,10,laptop,2313,0.1322,0.7371,0.662,0.8131,0.7797,0.3931
0,10,restaurant,3602,0.1322,0.716,0.5382,0.8312,0.6052,0.178
2,1,val,122,1.0842,0.877,0.3115,0.9345,0.0,0.0
2,1,in_domain,123,1.0842,0.878,0.3117,0.9351,0.0,0.0
2,1,laptop,2313,1.0842,0.4267,0.1994,0.5982,0.0,0.0
2,1,restaurant,3602,1.0842,0.6008,0.2502,0.7506,0.0,0.0
2,2,val,122,1.1435,0.8607,0.3637,0.9244,0.1667,0.0
2,2,in_domain,123,1.1435,0.8699,0.3612,0.9298,0.1538,0.0
2,2,laptop,2313,1.1435,0.4436,0.2349,0.6057,0.0989,0.0
2,2,restaurant,3602,1.1435,0.6008,0.2502,0.7506,0.0,0.0
2,3,val,122,0.939,0.7951,0.4186,0.8922,0.3636,0.0
2,3,in_domain,123,0.939,0.8455,0.5882,0.9171,0.5143,0.3333
2,3,laptop,2313,0.939,0.7103,0.5285,0.8067,0.7702,0.0086
2,3,restaurant,3602,0.939,0.7307,0.5085,0.8422,0.6802,0.0031
2,4,val,122,0.7308,0.8443,0.4072,0.9217,0.3,0.0
2,4,in_domain,123,0.7308,0.9106,0.5288,0.955,0.6316,0.0
2,4,laptop,2313,0.7308,0.7047,0.5232,0.7797,0.7856,0.0043
2,4,restaurant,3602,0.7308,0.7088,0.4787,0.8206,0.6156,0.0
2,5,val,122,0.4955,0.8361,0.5134,0.9151,0.375,0.25
2,5,in_domain,123,0.4955,0.9024,0.705,0.9484,0.6667,0.5
2,5,laptop,2313,0.4955,0.7484,0.7035,0.8265,0.7972,0.4869
2,5,restaurant,3602,0.4955,0.7335,0.6124,0.8528,0.6327,0.3518
2,6,val,122,0.384,0.8443,0.5196,0.9202,0.3529,0.2857
2,6,in_domain,123,0.384,0.8943,0.6905,0.9434,0.6667,0.4615
2,6,laptop,2313,0.384,0.7527,0.7078,0.8217,0.8094,0.4922
2,6,restaurant,3602,0.384,0.7396,0.6415,0.857,0.6635,0.4039
2,7,val,122,0.3067,0.8443,0.4125,0.9217,0.3158,0.0
2,7,in_domain,123,0.3067,0.9106,0.6269,0.9585,0.6364,0.2857
2,7,laptop,2313,0.3067,0.7626,0.6967,0.8352,0.8044,0.4505
2,7,restaurant,3602,0.3067,0.7401,0.6006,0.8532,0.6632,0.2854
2,8,val,122,0.1906,0.8443,0.5231,0.9202,0.3158,0.3333
2,8,in_domain,123,0.1906,0.8943,0.6495,0.9484,0.6364,0.3636
2,8,laptop,2313,0.1906,0.7601,0.7061,0.828,0.8048,0.4855
2,8,restaurant,3602,0.1906,0.7418,0.625,0.856,0.6747,0.3441
2,9,val,122,0.1883,0.8361,0.4712,0.9159,0.3158,0.1818
2,9,in_domain,123,0.1883,0.8943,0.6025,0.9488,0.6364,0.2222
2,9,laptop,2313,0.1883,0.7596,0.7029,0.8302,0.805,0.4734
2,9,restaurant,3602,0.1883,0.7396,0.618,0.8538,0.6587,0.3414
2,10,val,122,0.1066,0.8279,0.415,0.9116,0.3333,0.0
2,10,in_domain,123,0.1066,0.9024,0.6815,0.9444,0.7,0.4
2,10,laptop,2313,0.1066,0.7592,0.708,0.8275,0.8032,0.4933
2,10,restaurant,3602,0.1066,0.7393,0.6237,0.8521,0.653,0.366
3,1,val,122,1.1032,0.877,0.3115,0.9345,0.0,0.0
3,1,in_domain,123,1.1032,0.878,0.3117,0.9351,0.0,0.0
3,1,laptop,2313,1.1032,0.4267,0.1994,0.5982,0.0,0.0
3,1,restaurant,3602,1.1032,0.6008,0.2502,0.7506,0.0,0.0
3,2,val,122,1.0752,0.877,0.3115,0.9345,0.0,0.0
3,2,in_domain,123,1.0752,0.878,0.3117,0.9351,0.0,0.0
3,2,laptop,2313,1.0752,0.4267,0.1994,0.5982,0.0,0.0
3,2,restaurant,3602,1.0752,0.6008,0.2502,0.7506,0.0,0.0
3,3,val,122,0.9133,0.7049,0.3847,0.8342,0.32,0.0
3,3,in_domain,123,0.9133,0.748,0.4195,0.8586,0.4,0.0
3,3,laptop,2313,0.9133,0.6732,0.4993,0.7678,0.7303,0.0
3,3,restaurant,3602,0.9133,0.7199,0.4975,0.8373,0.6551,0.0
3,4,val,122,0.6698,0.7377,0.4148,0.8643,0.3,0.08
3,4,in_domain,123,0.6698,0.7886,0.5193,0.8911,0.5,0.1667
3,4,laptop,2313,0.6698,0.668,0.6322,0.7239,0.7763,0.3963
3,4,restaurant,3602,0.6698,0.7071,0.5642,0.831,0.6202,0.2413
3,5,val,122,0.591,0.8443,0.4072,0.9217,0.3,0.0
3,5,in_domain,123,0.591,0.9024,0.5287,0.9498,0.6364,0.0
3,5,laptop,2313,0.591,0.7298,0.6348,0.8048,0.7908,0.3086
3,5,restaurant,3602,0.591,0.7346,0.555,0.8479,0.6747,0.1425
3,6,val,122,0.3629,0.8443,0.3553,0.9231,0.1429,0.0
3,6,in_domain,123,0.3629,0.8943,0.5653,0.9459,0.5,0.25
3,6,laptop,2313,0.3629,0.7229,0.6646,0.7948,0.7731,0.4259
3,6,restaurant,3602,0.3629,0.7238,0.571,0.8401,0.6277,0.2451
3,7,val,122,0.4079,0.8115,0.4513,0.9048,0.3158,0.1333
3,7,in_domain,123,0.4079,0.8618,0.5681,0.9289,0.6087,0.1667
3,7,laptop,2313,0.4079,0.7181,0.6726,0.7916,0.7914,0.4349
