model,seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
Standard BERT ABSA,2024,5,laptop,2313,0.2343,0.6935,0.5433,0.7882,0.7415,0.1002
Standard BERT ABSA,2024,5,restaurant,3602,0.2343,0.6871,0.4609,0.8204,0.5474,0.015
Extended BERT ABSA,2024,1,val,122,1.0993,0.5574,0.3199,0.7018,0.2581,0.0
Extended BERT ABSA,2024,1,in_domain,123,1.0993,0.8211,0.481,0.8976,0.5455,0.0
Extended BERT ABSA,2024,1,laptop,2313,1.0993,0.4133,0.2484,0.1865,0.5585,0.0
Extended BERT ABSA,2024,1,restaurant,3602,1.0993,0.2812,0.1954,0.2243,0.3619,0.0
Extended BERT ABSA,2024,2,val,122,0.9048,0.7541,0.4024,0.8643,0.3429,0.0
Extended BERT ABSA,2024,2,in_domain,123,0.9048,0.8699,0.5208,0.9259,0.6364,0.0
Extended BERT ABSA,2024,2,laptop,2313,0.9048,0.5197,0.3797,0.5391,0.6001,0.0
Extended BERT ABSA,2024,2,restaurant,3602,0.9048,0.4498,0.3202,0.5874,0.3701,0.0032
Extended BERT ABSA,2024,3,val,122,0.6715,0.7213,0.4128,0.8384,0.4,0.0
Extended BERT ABSA,2024,3,in_domain,123,0.6715,0.7724,0.5035,0.8641,0.5556,0.0909
Extended BERT ABSA,2024,3,laptop,2313,0.6715,0.5854,0.4416,0.6629,0.6409,0.0209
Extended BERT ABSA,2024,3,restaurant,3602,0.6715,0.5261,0.3673,0.681,0.3995,0.0212
Extended BERT ABSA,2024,4,val,122,0.5038,0.8197,0.4405,0.9048,0.4167,0.0
Extended BERT ABSA,2024,4,in_domain,123,0.5038,0.8455,0.5877,0.91,0.5455,0.3077
Extended BERT ABSA,2024,4,laptop,2313,0.5038,0.6169,0.4611,0.7091,0.6655,0.0086
Extended BERT ABSA,2024,4,restaurant,3602,0.5038,0.5769,0.3943,0.7298,0.4498,0.0031
Extended BERT ABSA,2024,5,val,122,0.3595,0.8525,0.4339,0.9266,0.375,0.0
Extended BERT ABSA,2024,5,in_domain,123,0.3595,0.8699,0.5656,0.9266,0.5882,0.1818
Extended BERT ABSA,2024,5,laptop,2313,0.3595,0.6321,0.4719,0.7306,0.6723,0.0128
Extended BERT ABSA,2024,5,restaurant,3602,0.3595,0.6149,0.4062,0.7632,0.4459,0.0093
RoBERTa ABSA,2024,1,val,122,1.1709,0.877,0.378,0.9339,0.2,0.0
RoBERTa ABSA,2024,1,in_domain,123,1.1709,0.878,0.3117,0.9351,0.0,0.0
RoBERTa ABSA,2024,1,laptop,2313,1.1709,0.5067,0.349,0.6358,0.4112,0.0
RoBERTa ABSA,2024,1,restaurant,3602,1.1709,0.6047,0.3241,0.751,0.2214,0.0
RoBERTa ABSA,2024,2,val,122,1.1144,0.5082,0.2973,0.6667,0.2254,0.0
